depth (mm),Si,K,Ca,Ti,Fe,Co,Ni,Sr,P
831,1061,5957,201118,5710,33850,393,347,380,26
831.5,891,5667,187741,5196,28366,353,307,539,40
832,919,5593,180739,5278,28468,332,365,404,29
832.5,1007,5753,181701,5403,25136,338,391,486,0
833,1098,5985,190897,5215,25195,291,341,356,0
833.5,1070,6447,181660,5105,25916,192,347,391,15
834,1038,6830,183425,5533,24709,375,344,658,21
834.5,1087,6370,193317,4772,23803,419,347,549,0
835,1104,6134,194787,4816,22968,365,290,405,0
835.5,1038,6338,186236,4964,27085,331,272,271,0
836,1093,6218,187753,5477,27098,423,240,300,0
836.5,1224,6463,193826,5463,26431,344,266,460,0
837,1219,6493,189851,6144,25529,376,246,334,0
837.5,946,5493,175074,6224,25893,380,317,375,12
838,1037,6309,188467,5029,25120,375,370,472,0
838.5,983,5978,181916,4853,24608,418,281,308,0
839,922,5879,179663,4759,25308,409,343,458,31
839.5,1110,6121,189373,5695,25728,282,341,296,80
840,937,5946,187089,4769,25429,295,373,544,44
840.5,1004,6636,192987,4960,28204,250,347,513,30
841,1304,6687,211180,5339,27270,281,305,474,28
841.5,1190,6655,210343,4994,24502,260,367,505,5
842,1002,6005,184485,4830,25934,368,343,456,9
842.5,1159,6211,190452,5184,24907,310,381,417,0
843,977,6115,182005,4791,24583,329,279,378,0
843.5,1132,6230,193746,5215,24066,345,322,408,0
844,1045,5986,183731,5038,23513,357,320,249,0
844.5,978,5924,183845,4893,22628,358,315,453,27
845,999,5912,182749,5186,23583,369,247,293,10
845.5,968,6123,190437,5411,23695,224,364,473,0
846,976,6117,186118,5946,23531,276,388,268,0
846.5,1146,6689,197628,5355,23769,330,359,272,0
847,955,5960,186150,5306,23877,292,373,403,0
847.5,1018,5975,193061,5568,22510,233,243,478,0
848,1119,6294,195427,5303,22592,291,289,320,64
848.5,1120,6864,200815,5679,23506,307,277,447,0
849,1084,6635,195032,5744,22941,345,342,332,0
849.5,919,6010,192188,5481,21899,318,266,482,0
850,1171,6664,197019,5707,22259,342,287,333,0
850.5,1145,6343,194750,5107,22482,292,303,374,0
851,1049,5927,190388,5767,23235,337,337,280,0
851.5,1022,6096,185987,4881,22871,271,251,376,0
852,945,5699,187854,5170,24391,385,344,557,0
852.5,1106,6358,201332,5362,24062,408,285,617,5
853,1156,6249,198522,5408,24911,333,300,382,0
853.5,1119,6172,194778,5382,24103,361,296,308,0
854,1197,6186,204099,4857,24265,372,244,361,8
854.5,1022,5644,193319,4489,26701,329,289,377,51
855,1080,5447,196801,4623,23571,428,309,306,44
855.5,968,5445,199738,4448,22945,384,349,390,50
856,1113,5850,206530,5150,23720,367,245,499,0
856.5,1215,6717,214159,5007,22555,297,291,610,0
857,1238,6449,217798,4988,23786,376,232,307,0
857.5,1080,6557,205751,5113,22678,288,267,548,0
858,1022,5782,207079,4374,21672,254,333,292,12
858.5,1073,5683,213368,4152,21614,289,355,358,0
859,1294,6413,221728,4811,23132,314,304,427,0
859.5,1048,5872,208531,4514,22416,264,283,292,0
860,1123,6104,210866,5002,21784,292,320,467,51
860.5,1086,5669,207107,5011,22534,253,335,493,0
861,1082,5647,221550,4786,25476,336,347,505,0
861.5,998,6230,207851,5687,23031,292,338,466,0
862,1171,6165,219818,5271,22190,359,272,323,0
862.5,1268,6260,235126,4727,20712,281,323,439,0
863,1414,6325,242071,4301,23026,219,311,549,0
863.5,1124,5283,212180,4573,23811,210,434,660,0
864,1163,6089,215421,4736,23166,340,289,458,0
864.5,1293,6156,241404,5113,21629,334,341,515,0
865,1372,5795,242891,4708,20779,406,373,369,0
865.5,1184,5651,232016,4087,22210,358,360,528,0
866,1165,5748,235663,4220,20073,375,266,520,0
866.5,1364,6308,226098,4417,18736,274,333,341,0
867,1213,5709,213013,4023,18407,356,343,356,0
867.5,1213,6449,232968,4315,18799,287,310,480,0
868,1305,5783,222190,4305,18326,291,320,422,0
868.5,1179,5533,219176,4679,20177,344,216,468,0
869,1228,5374,222191,4481,19944,402,261,361,0
869.5,1276,5435,231191,4350,18906,341,282,430,0
870,1241,5642,223907,4274,18429,314,314,411,0
870.5,1261,5532,225327,4505,19945,143,332,434,0
871,1125,5854,224178,4440,20426,246,326,394,0
871.5,1055,5226,239419,4907,20295,319,291,425,0
872,1253,5789,245307,4490,19801,216,375,344,0
872.5,1248,5480,238121,5167,20199,231,323,572,21
873,1408,5989,249171,3956,18489,182,337,533,0
873.5,1383,6175,248618,4763,17675,274,302,426,56
874,1301,6112,241022,4662,17884,389,277,423,0
874.5,1239,6040,237165,4852,17969,381,245,433,0
875,1364,5958,239953,5029,18746,406,357,399,0
875.5,1172,5841,223176,5085,18539,432,299,641,0
876,1301,5636,227440,4787,19441,273,289,394,0
876.5,1387,6160,233401,4232,17806,262,345,483,0
877,1223,5439,217721,4202,16411,272,299,380,0
877.5,1343,5583,225769,4353,16626,171,284,361,0
878,1149,5552,217658,4765,16297,218,338,385,0
878.5,1205,5191,217443,4113,17378,253,299,474,0
879,1147,4628,209709,3944,15836,291,364,505,0
879.5,1202,5298,214962,3991,15709,288,267,515,0
880,1230,4830,209682,4065,15722,285,349,369,0
880.5,1199,5384,220287,4385,15737,240,289,433,0
881,1220,5277,217484,3816,15603,275,306,336,0
881.5,1080,4953,209516,3939,15381,191,342,418,0
882,1139,5258,212191,3999,15513,221,232,504,0
882.5,1326,5277,214469,4274,15426,343,323,329,0
883,1369,5416,218675,4561,15809,258,330,347,0
883.5,1094,5736,211558,4040,15564,218,275,332,0
884,1084,5014,195166,4078,15123,321,314,450,0
884.5,1038,4807,200093,3881,15482,287,306,160,0
885,1135,5216,212573,4613,16453,207,352,488,0
885.5,1305,5292,220991,4636,16334,199,304,482,0
886,1383,5604,226178,4337,16571,236,309,435,0
886.5,1408,5462,218456,4304,16805,243,272,384,0
887,1318,5010,208657,3647,16003,304,287,270,0
887.5,1105,4779,195598,3637,15089,232,334,371,0
888,1202,4886,206569,3909,16356,214,290,339,0
888.5,1281,5134,205436,3748,16047,259,292,337,26
889,1287,5180,210235,4355,16074,279,283,495,0
889.5,1369,4831,206603,4519,17224,359,376,260,0
890,1423,5396,210893,3829,16598,169,314,351,0
890.5,1345,5418,204420,4613,15959,298,258,483,0
891,1385,4835,205875,4414,16872,284,408,396,0
891.5,1400,5097,214432,4859,17260,298,298,331,0
892,1350,5447,208884,4387,16957,309,312,495,0
892.5,1333,5410,210923,4004,16432,194,387,413,0
893,1234,4882,212717,4665,15789,236,266,478,0
893.5,1204,5254,200920,4243,15747,170,366,417,0
894,1258,5226,206884,3953,16802,204,312,431,0
894.5,1223,5065,209148,4072,16880,289,309,433,0
895,1287,5142,209633,4162,16547,161,326,244,0
895.5,1324,5249,213504,4440,16658,307,242,488,0
896,1323,4925,205588,4364,15785,326,253,347,0
896.5,1318,4591,207444,4601,16058,305,371,510,0
897,1239,4846,201576,4026,16159,226,278,378,13
897.5,1231,4524,192200,3953,15636,264,329,474,0
898,1102,4169,179489,3970,15176,268,350,370,0
898.5,1155,4667,204691,3592,16547,296,339,358,0
899,1125,5093,201698,3885,16221,260,305,466,0
899.5,1080,4712,202518,4459,16254,320,358,299,0
900,1012,4193,198107,4017,15779,328,305,435,0
900.5,1166,4623,201645,4093,16184,271,374,317,0
901,1241,5175,209875,4229,17195,252,320,404,0
901.5,1274,5366,208153,5657,16588,207,318,425,0
902,1073,5098,192771,4183,16645,324,297,300,0
902.5,1171,5291,204928,4566,17099,154,289,317,0
903,1193,5234,206777,4487,16890,302,350,362,0
903.5,1210,4837,209775,4475,17043,238,317,435,0
904,1219,4931,215139,4343,17309,261,298,392,0
904.5,1253,4877,222674,4447,17353,286,300,545,0
905,1240,4883,215115,3864,16980,288,260,402,0
905.5,1170,4904,203043,4139,16621,270,298,427,0
906,1477,5300,216073,4102,16587,394,326,343,0
906.5,1166,4648,203623,4017,15883,344,249,460,0
907,1031,5013,204236,4327,16675,255,368,256,0
907.5,1110,5052,222298,4347,17476,295,331,411,0
908,1168,5060,233079,4241,17252,257,338,140,0
908.5,1156,5135,235506,4675,18553,296,244,388,0
909,1134,5247,229878,4598,18832,258,301,328,0
909.5,1270,5077,240143,4517,18897,299,336,385,0
910,1337,5811,243502,4106,19551,364,304,307,0
910.5,1324,5169,229691,4148,19539,241,327,404,0
911,1288,4796,227395,3591,18353,335,257,477,0
911.5,1282,5242,249181,4074,18722,320,268,368,0
912,1148,5298,243469,4048,18492,221,288,324,0
912.5,1364,5412,246129,4170,19219,321,260,431,0
913,1263,5358,240315,4083,19424,232,336,454,0
913.5,1239,5715,235589,4562,19114,325,351,250,0
914,1310,5431,240631,4262,18468,373,332,449,0
914.5,1241,5341,246333,4110,18752,318,232,308,0
915,1187,5226,230511,3929,17716,322,293,274,0
915.5,1284,5179,236166,4200,18024,332,287,531,0
916,1139,5058,239082,3913,18575,319,263,360,0
916.5,1246,5057,238039,4244,19091,210,231,428,0
917,1214,5199,238366,4216,19125,262,299,468,0
917.5,1211,5104,240147,4128,18961,295,280,265,0
918,1236,5224,244935,4645,19501,331,267,412,0
918.5,1383,5171,248863,3887,19266,305,308,498,0
919,1287,5265,251966,3992,19624,325,380,539,0
919.5,1367,5306,252938,4071,19947,242,331,458,0
920,1285,5677,254623,4304,20325,301,253,580,0
920.5,1338,5996,261248,4861,19114,323,279,411,0
921,1363,5661,266612,4455,19154,363,357,515,0
921.5,1132,5106,255364,4221,20918,243,315,484,0
922,1261,5259,263743,4816,20337,282,236,295,0
922.5,1352,5463,251529,4417,22058,282,405,326,0
923,1267,5021,241765,4276,20389,274,292,311,0
923.5,1223,4644,236833,3928,19405,262,412,443,0
924,1279,5256,245504,4388,18737,221,265,496,0
924.5,1121,4481,231920,4384,17750,184,310,504,0
925,1151,4507,233571,3961,17924,293,325,557,0
925.5,1126,4281,226271,4155,17677,230,400,263,0
926,1112,4530,234387,4413,17813,300,403,436,0
926.5,1084,4596,246532,4188,19071,177,401,449,0
927,1154,4754,252888,3938,19286,314,258,422,0
927.5,1133,5043,250660,3982,19550,277,298,234,0
928,1105,5135,238848,3658,17864,141,329,291,0
928.5,1101,4644,230291,3986,17648,274,363,276,0
929,1038,4500,229424,3926,20545,332,337,580,0
929.5,1080,4939,235429,4016,19910,275,267,376,0
930,1180,5068,240153,4293,18956,202,319,354,0
930.5,1216,4951,234929,3916,19057,240,337,343,0
931,1062,4368,222000,4253,18523,184,302,353,0
931.5,1247,4588,233216,4536,18570,197,292,346,0
932,1237,4702,227674,3951,18600,269,374,486,0
932.5,977,4113,215295,3235,18012,231,309,343,0
933,934,4192,207661,3633,18186,265,289,482,0
933.5,1069,4512,223363,3947,17958,221,314,273,0
934,968,4264,223859,4129,18036,286,286,488,0
934.5,1098,4856,224935,4005,19231,275,296,277,0
935,1077,4956,230588,3992,19716,218,338,518,0
935.5,989,4792,229549,3754,18811,411,303,352,0
936,1163,4744,233289,3665,19598,287,256,542,0
936.5,1147,4793,235279,3751,20230,301,318,303,0
937,1158,4770,231590,3915,18759,227,297,358,0
937.5,1057,4524,225664,3938,18783,249,308,578,0
938,1121,4785,226111,4055,19213,338,308,364,0
938.5,1012,5296,220412,3853,19967,255,290,401,0
939,885,4758,210178,3844,19733,219,412,349,0
939.5,944,4985,215986,4491,20537,217,394,263,0
940,1025,5613,237220,4879,21037,397,307,438,0
940.5,898,5029,230887,5133,20542,260,360,392,0
941,893,5192,220468,4125,20268,258,269,443,0
941.5,1001,5362,224717,4125,20832,331,300,420,0
942,953,5084,222258,4332,20448,255,312,350,0
942.5,963,5113,226378,4246,21136,278,322,356,0
943,912,4848,218411,4877,20773,251,387,264,0
943.5,945,4642,214561,3907,19896,238,334,312,10
944,975,4828,214110,3855,19580,299,343,397,0
944.5,1043,4901,214841,4281,19777,233,399,349,0
945,960,4634,211276,4561,19349,340,365,391,0
945.5,921,4913,227290,4194,19743,276,393,346,0
946,1076,4957,239698,4160,20383,329,345,240,0
946.5,971,5153,230488,4315,20577,201,290,488,0
947,1022,5683,228714,4625,21879,343,348,452,0
947.5,1022,4970,236563,4161,21395,362,284,301,0
948,1222,5225,233979,4177,20629,346,348,412,0
948.5,1174,4631,228762,4211,20977,240,335,459,0
949,1004,5064,226404,4135,20928,268,299,460,47
949.5,1103,5052,226115,4008,21435,309,338,471,24
950,1130,5184,236320,4072,21147,278,241,394,0
950.5,1100,5218,239222,3678,21742,318,306,492,0
951,1052,5207,228625,3776,20998,273,312,285,58
951.5,1005,5141,217332,3911,20581,299,261,230,0
952,982,4844,222987,4111,20364,231,266,215,8
952.5,1026,5256,221283,3900,20080,305,348,259,0
953,1019,4633,226562,4161,21128,152,299,313,0
953.5,1135,4907,229332,5044,21975,395,323,487,0
954,1029,5017,225688,4513,22145,370,328,339,0
954.5,1099,5384,232014,4647,22864,286,242,335,0
955,1183,5454,232178,4452,21520,311,278,306,0
955.5,1179,5182,236484,4284,20389,259,323,514,0
956,1146,5278,242574,3679,19307,297,303,267,0
956.5,1068,4775,222522,3671,18993,212,311,413,0
957,1139,4614,222862,3848,19625,336,324,327,0
957.5,933,4696,209493,3658,19629,340,345,371,0
958,915,4441,208522,3884,20250,314,324,332,0
958.5,1063,5116,228001,3970,19651,244,314,436,0
959,1029,5448,222311,4312,20619,288,327,401,0
959.5,934,4884,216974,4432,21667,237,312,323,0
960,986,5031,219426,4656,21428,275,335,220,0
960.5,1057,5378,229632,4395,22575,373,321,302,28
961,1349,5885,249468,4208,21781,265,321,410,0
961.5,1237,5402,234949,4453,20809,266,299,302,0
962,1037,4627,211060,3898,21130,348,406,353,0
962.5,1122,4853,225406,4437,21074,341,296,274,0
963,1246,5174,236271,4885,21168,293,382,462,0
963.5,1024,5138,223398,4541,22164,397,347,478,0
964,1105,5417,236745,4435,24593,341,289,444,0
964.5,1229,5611,240849,4265,24197,345,319,381,12
965,1189,5383,238166,4799,24113,339,292,258,0
965.5,1275,5608,235202,4617,23128,371,303,249,0
966,1211,5444,228041,4242,21891,263,297,438,0
966.5,1155,5165,225012,4245,19935,277,306,407,0
967,1049,4640,210670,3753,20134,251,332,351,19
967.5,1111,4795,220949,4262,21090,276,306,312,0
968,1145,5170,226852,4612,21321,365,376,495,0
968.5,1168,5689,242359,4403,21638,350,340,634,0
969,1292,5160,236660,4472,20779,297,406,403,0
969.5,1063,4650,212171,3938,19900,312,286,288,0
970,1173,4867,217157,3754,18634,246,316,381,0
970.5,1112,4677,223120,4458,18506,274,255,257,0
971,1085,4902,215147,4320,18880,250,280,178,0
971.5,1121,5230,224503,4082,19617,205,344,302,8
972,1037,4894,225245,4313,21286,289,292,462,0
972.5,1122,5418,242562,3917,21258,279,292,357,0
973,1146,5921,243007,4534,22105,256,288,477,27
973.5,1140,5274,235026,4802,20766,281,324,223,0
974,1138,5128,229829,4670,20861,302,262,283,0
974.5,1041,4866,227506,4273,22392,326,280,445,0
975,1236,5007,247039,4101,23032,352,266,416,10
975.5,1068,5063,236218,4386,21838,249,302,292,0
976,973,4971,230691,3686,21586,346,357,523,0
976.5,966,4829,230998,4012,21627,431,252,230,0
977,962,5197,247117,4229,22501,422,363,443,0
977.5,1044,4994,245651,3687,22702,265,335,269,0
978,1035,4589,234782,4315,22684,335,309,333,0
978.5,1142,5273,240068,4009,22695,360,299,489,0
979,1091,4985,238185,4342,22737,220,356,224,0
979.5,1064,5294,243818,4318,22347,291,315,244,0
980,1003,5303,243323,3968,22847,342,281,311,0
980.5,1040,5335,244371,3863,23318,433,333,274,0
981,966,5051,239988,4019,22711,230,263,432,0
981.5,873,4836,228626,4093,22230,320,249,488,0
982,958,5148,242049,4266,23710,370,319,498,0
982.5,1051,4891,240182,4176,22496,347,321,409,8
983,868,4722,222379,3887,22291,353,317,250,0
983.5,815,4633,225643,4281,23955,307,242,369,25
984,934,5006,236541,4232,24091,325,277,343,0
984.5,1163,5029,243383,4210,23258,344,357,343,24
985,1076,4627,245653,4342,22912,267,322,389,9
985.5,969,4523,240709,5335,22427,428,246,394,0
986,1063,5068,248048,4580,23556,288,344,393,0
986.5,1035,5294,244584,4166,21972,404,330,381,0
987,1004,4774,249011,4494,21715,241,315,305,0
987.5,1008,5098,245615,4113,22983,371,329,230,55
988,955,4931,244523,4058,22762,343,275,423,0
988.5,921,5014,242704,4278,23306,335,331,170,0
989,837,4535,239120,3985,23326,333,387,443,0
989.5,1024,4667,246424,4072,23870,315,308,388,0
990,1036,4919,257026,4330,23373,385,305,214,53
990.5,1005,5047,257190,3876,24486,296,360,577,34
991,996,4877,254080,4057,22897,357,293,556,0
991.5,962,4501,259583,3676,23267,327,357,437,0
992,1186,4731,255791,4997,22734,343,232,315,0
992.5,1125,4814,245532,4013,25586,337,343,216,7
993,1039,4417,233141,3657,20906,367,314,465,0
993.5,1096,4242,225797,4357,19894,285,306,195,0
994,1212,4824,239330,4514,19445,337,327,426,29
994.5,1002,3963,223482,3506,18291,295,236,354,0
995,1191,4076,231021,3520,17141,275,341,381,0
995.5,1061,4171,226143,3591,17969,293,326,470,0
996,1014,4623,224195,3762,17590,286,343,307,17
996.5,993,4534,234878,3800,17820,314,308,418,0
997,1089,4816,252860,3805,18447,349,338,496,0
997.5,1237,5135,267326,3855,20423,269,329,386,12
998,1067,4412,252179,3817,21946,313,287,340,0
998.5,933,4340,255460,3432,22700,281,276,382,0
999,1091,4549,274574,4049,23334,387,238,420,0
999.5,1076,5166,275762,3457,24595,228,346,414,0
1000,1076,5100,294337,4137,23945,270,282,384,0
1000.5,1068,4462,290161,3909,22656,245,235,346,0
1001,907,4322,276816,3910,24214,275,298,449,0
1001.5,853,4139,272965,3500,26333,375,319,292,21
1002,900,4647,285387,4598,29875,299,302,490,37
1002.5,908,4711,275216,4372,31694,430,285,437,22
1003,991,4746,288909,3920,27396,264,269,520,11
1003.5,960,5058,298709,4142,28653,363,249,401,8
1004,1050,4803,303919,3673,27509,206,270,213,0
1004.5,1097,4897,297250,4022,25697,363,328,252,0
1005,961,4967,290641,4664,29858,328,255,364,0
1005.5,1023,5104,282712,4131,28109,329,297,536,0
1006,1020,4982,274914,3786,24929,313,290,395,0
1006.5,1060,4777,267335,3597,24743,281,355,429,5
1007,915,4865,269641,3798,23614,293,327,389,0
1007.5,950,4584,277120,4640,24100,239,326,397,20
1008,968,4926,279551,3873,22993,364,298,204,0
1008.5,1083,4815,276542,3586,22341,338,263,405,0
1009,1069,4477,278239,3780,22545,252,285,404,0
1009.5,1109,4565,278736,3776,20918,229,408,521,0
1010,965,4399,269488,3412,20442,233,311,481,0
1010.5,1022,4439,279337,3906,22006,396,270,402,0
1011,1244,4669,285835,3656,20233,260,317,409,0
1011.5,917,4007,257671,3329,19459,245,388,385,0
1012,939,4224,265839,3473,20912,296,308,477,0
1012.5,973,4256,279990,3383,21387,343,306,311,0
1013,968,4573,280856,3869,20709,234,295,370,0
1013.5,889,4430,274449,3676,20877,309,303,328,0
1014,856,4263,283586,3721,21529,309,304,383,0
1014.5,826,4232,277922,3394,20978,280,330,342,0
1015,910,4138,280582,3861,20447,286,310,395,0
1015.5,984,4060,297660,3372,20651,294,313,244,0
1016,820,4184,280971,3471,21836,343,336,405,0
1016.5,857,4261,277957,3587,21150,213,352,303,0
1017,898,4507,285596,3331,22027,293,352,325,0
1017.5,898,4441,291443,3477,23542,381,305,346,0
1018,908,4713,291971,3765,22403,223,299,433,0
1018.5,919,4605,304303,3613,23084,324,271,412,31
1019,967,4283,307259,3899,24092,260,251,482,0
1019.5,997,4774,312025,3928,23951,321,328,322,0
1020,835,4488,297828,4071,23369,307,356,223,0
1020.5,1074,5103,316894,4053,22878,336,295,314,0
1021,996,4903,309931,3640,22293,230,314,302,0
1021.5,960,4577,297049,3442,21488,289,298,262,0
1022,940,4183,296193,3791,25161,386,240,304,0
1022.5,907,4441,303294,3438,27309,296,279,422,0
1023,818,4682,298801,3698,27567,280,286,276,0
1023.5,944,4675,310928,4215,27722,268,274,373,0
1024,940,4482,298613,3424,24729,275,274,421,0
1024.5,790,4083,293674,3134,23425,258,227,541,0
1025,890,4333,299704,3633,24585,262,338,371,0
1025.5,826,4769,307672,4194,27314,266,251,304,0
1026,837,4307,305386,3991,27277,311,260,393,0
1026.5,925,4400,308610,4021,26588,270,271,441,0
1027,883,5164,302575,4193,30388,264,251,382,0
1027.5,888,4572,305267,4286,29795,293,301,455,0
1028,831,4613,313638,4454,31310,241,212,448,0
1028.5,936,5078,319683,3299,31124,305,278,421,7
1029,962,4902,328672,3971,30358,402,220,444,0
1029.5,965,4772,319630,3995,31416,332,239,369,72
1030,846,4700,319064,4132,32554,353,311,373,0
1030.5,808,4191,305550,3771,34718,314,222,530,0
1031,819,4367,311124,4203,35365,291,377,403,0
1031.5,992,4785,328464,3908,30927,287,248,354,16
1032,939,4344,321412,3632,29258,257,299,324,0
1032.5,922,4664,321540,3632,26658,325,288,366,0
1033,830,4843,316674,4397,31135,334,239,360,139
1033.5,946,4542,312008,3953,29984,242,207,349,0
1034,788,4259,324010,3144,28722,388,294,572,0
1034.5,840,4500,325941,3845,26477,311,298,543,0
1035,937,4594,332299,3633,28735,218,220,505,0
1035.5,948,4461,331862,3680,28846,359,241,582,0
1036,909,4828,320699,4129,29238,324,306,468,0
1036.5,904,4874,324817,3736,27309,271,230,364,0
1037,1000,4843,326613,3834,27607,363,208,209,14
1037.5,886,4315,313995,3628,27573,277,305,473,0
1038,747,4890,298343,4102,28304,291,307,570,0
1038.5,839,5088,301084,3873,29715,267,229,449,0
1039,799,5464,313857,3674,28959,346,341,411,0
1039.5,794,5362,320344,4071,29015,203,281,604,0
1040,791,5045,309315,4246,27017,323,321,294,0
1040.5,845,5121,316315,3996,26385,341,254,380,0
1041,965,5483,323504,4534,25783,257,281,409,0
1041.5,896,6036,316383,4442,25392,233,231,496,0
1042,855,5604,328927,4210,27650,317,355,583,0
1042.5,930,5446,339391,3975,26569,240,286,558,0
1043,940,5739,325021,4193,24798,257,313,311,0
1043.5,933,5577,333256,4384,27777,362,265,181,0
1044,844,5225,331601,4911,26316,379,317,436,0
1044.5,984,5910,352397,4754,25023,309,303,151,0
1045,932,5566,339090,3894,24970,251,239,514,0
1045.5,931,5348,326399,4504,26369,363,309,450,0
1046,830,4855,310185,4838,25447,232,313,394,0
1046.5,881,5340,321658,4097,25608,374,295,352,0
1047,933,5445,326156,4098,27022,323,338,246,0
1047.5,844,5037,326004,3991,25659,277,334,439,28
1048,868,4963,318885,3737,24343,320,382,390,0
1048.5,934,5434,333642,5145,24978,289,312,501,0
1049,910,5021,326397,4223,25057,409,276,422,0
1049.5,970,5680,343696,4229,25657,397,258,486,0
1050,928,6006,329369,4155,25585,304,257,456,0
1050.5,977,6012,328897,4546,25826,428,246,324,0
1051,978,5311,321457,4346,24388,253,268,390,0
1051.5,824,5270,323806,4363,24222,335,308,389,8
1052,907,5470,323545,4187,25913,331,267,541,0
1052.5,1004,5272,327484,4293,25897,362,261,473,0
1053,927,5383,319620,4562,26291,294,279,557,0
1053.5,953,5611,306677,6453,25429,259,212,393,0
1054,1115,7644,305287,4384,23861,304,260,463,0
1054.5,1091,7211,312967,4691,27088,179,323,500,0
1055,1040,6408,316782,4445,27829,194,358,435,0
1055.5,1017,6679,325301,4735,27449,227,257,530,0
1056,1069,6831,329479,4803,28695,407,315,158,8
1056.5,1028,6962,331616,5727,27240,283,261,429,0
1057,1113,6805,337011,5143,28741,425,276,399,0
1057.5,1138,6792,338333,5185,28739,312,282,420,0
1058,1100,6693,331906,4911,29285,353,299,377,0
1058.5,1047,6897,337298,5356,29888,383,301,341,0
1059,1091,6720,320657,5039,33253,357,339,487,6
1059.5,1041,6473,324468,5126,34967,322,240,536,0
1060,1052,6972,328755,4690,37525,387,218,463,0
1060.5,1205,7000,328024,4936,37894,405,265,401,0
1061,1127,6690,322954,4926,36413,351,279,416,0
1061.5,1112,7047,330979,5069,34507,331,333,337,0
1062,1103,6667,327638,4814,34453,390,276,382,89
1062.5,1081,7417,322416,4725,33776,425,267,385,0
1063,893,6834,313440,4710,31707,373,231,395,6
1063.5,933,6424,310393,4298,33235,383,304,521,116
1064,999,6328,313545,4793,30860,369,270,393,13
1064.5,910,6366,307620,4473,35116,385,316,528,0
1065,991,6468,323311,4863,36701,406,231,389,97
1065.5,1177,7150,345031,5336,38354,353,261,465,0
1066,1259,6987,347091,5495,36281,415,229,326,39
1066.5,1280,6823,340991,5253,33233,409,289,405,0
1067,1267,7136,345707,5441,34927,265,285,363,0
1067.5,1111,7224,315383,5068,34153,375,337,518,0
1068,1080,6645,311843,4760,34065,401,226,429,21
1068.5,1010,6539,322533,4924,35070,288,247,387,0
1069,1206,6825,330541,4807,33983,390,226,397,0
1069.5,1043,6724,322138,5349,35540,428,340,514,10
1070,1044,6833,323326,4832,35725,368,297,548,40
1070.5,1059,6694,323148,5008,34888,320,243,316,46
1071,1013,6646,316865,4734,34642,324,252,586,21
1071.5,989,6880,325690,5026,35827,431,247,379,53
1072,1100,7479,344782,5411,38448,416,269,505,67
1072.5,1111,6736,342657,5068,38310,436,322,428,59
1073,1124,6921,339640,4992,35647,260,343,436,0
1073.5,1127,6936,342397,5563,34848,262,272,451,34
1074,1081,7642,340442,5801,35753,289,305,266,16
1074.5,1212,7932,339721,5864,39423,416,231,481,0
1075,1108,7162,335739,5595,37369,333,307,322,0
1075.5,1151,7638,342590,5294,38263,375,215,475,56
1076,1135,6951,336765,5092,37315,323,204,442,70
1076.5,976,6428,331313,5137,34622,433,306,475,0
1077,1086,7087,339229,5503,34405,327,292,393,22
1077.5,1018,7300,338405,6019,35743,339,267,480,0
1078,1095,7228,350258,5060,36948,418,281,472,21
1078.5,1097,8202,347703,5334,39245,359,351,564,0
1079,1122,8563,338484,5372,39407,343,229,385,48
1079.5,1087,7610,342364,6972,39221,442,272,379,23
1080,1082,7455,337234,5415,41107,354,325,227,55
1080.5,1112,7053,328882,5389,40285,315,366,491,0
1081,1023,7311,323976,5253,41267,412,277,370,60
1081.5,1245,7238,330845,5162,39049,432,248,597,46
1082,1145,6976,323054,5631,41039,318,262,301,0
1082.5,1081,6880,308254,6437,50481,407,281,412,19
1083,1109,7260,317143,5269,45382,432,274,332,55
1083.5,1100,7375,333878,5193,42445,404,309,466,148
1084,1187,7473,345546,4992,47264,465,260,420,29
1084.5,1181,6813,346136,5030,46268,494,280,538,77
1085,1018,7433,342104,6164,46054,405,197,446,70
1085.5,937,6977,319504,4611,47017,477,183,518,67
1086,1028,7498,325709,5496,51623,485,302,404,131
1086.5,1075,6906,327486,5342,49445,493,237,380,66
1087,1107,6667,330563,5452,44276,403,321,418,131
1087.5,1007,6743,318630,5153,40847,295,240,540,16
1088,986,6674,313568,5031,46092,417,273,518,66
1088.5,1018,7303,314937,4812,48144,418,233,618,99
1089,959,7031,331418,5546,50318,469,235,488,70
1089.5,953,7507,334998,4921,51899,430,239,567,198
1090,932,7193,333394,5424,55076,504,247,593,124
1090.5,1145,7873,333365,5881,51288,402,306,509,113
1091,959,7095,324006,4995,47244,430,318,481,18
1091.5,1033,7103,344536,5148,43392,395,280,451,74
1092,1138,8082,351082,6386,50997,418,302,517,151
1092.5,1399,10690,351068,5552,51423,467,280,564,258
1093,1219,9040,337864,5634,52012,500,307,451,242
1093.5,1227,8829,333129,5569,56902,399,303,321,285
1094,1381,8621,328699,6211,52709,384,257,576,83
1094.5,1425,9053,310220,6081,48293,423,268,464,98
1095,1326,8790,316984,6063,47553,562,350,487,188
1095.5,1343,9413,319000,6363,51665,418,353,553,111
1096,1361,9784,282990,7728,53592,548,272,414,214
1096.5,1486,10439,294221,7237,56389,540,310,468,221
1097,1446,11228,289008,7121,59041,530,168,402,286
1097.5,1525,10859,291181,8739,60233,536,306,424,236
1098,1356,10732,293646,7420,56796,484,330,568,237
