depth (mm),Si,K,Ca,Ti,Fe,Co,Ni,Sr,P
183.5,551,4076,147579,3246,14712,328,367,316,39
184,608,4259,151646,3784,14700,252,368,337,26
184.5,466,3680,147184,3503,14090,176,330,410,5
185,534,4129,147408,3369,14390,312,362,243,65
185.5,432,3889,137608,3328,14131,282,387,185,0
186,566,3943,140222,3208,13261,243,376,476,0
186.5,470,3702,132875,2996,14212,177,406,467,0
187,551,3501,135017,3341,13401,258,408,439,0
187.5,456,3754,133354,3041,13047,310,301,459,18
188,446,3836,136287,3202,13936,217,421,367,0
188.5,404,3630,138168,2712,13659,217,388,380,54
189,494,3569,140519,2836,13553,249,290,194,0
189.5,515,3978,149535,3147,13919,283,414,141,11
190,557,4283,147742,3240,13298,172,408,376,0
190.5,540,4265,140095,3531,13140,215,474,292,39
191,395,4257,141387,3853,13840,117,418,314,0
191.5,488,4074,141937,3463,13956,241,333,475,0
192,456,4406,139396,3337,14029,249,415,379,0
192.5,503,4098,142137,3377,13054,370,460,441,0
193,484,3804,134772,3080,13217,225,324,370,0
193.5,492,3589,137756,2829,13279,224,394,501,0
194,493,3747,140786,3462,14799,216,384,221,0
194.5,486,3791,137094,3245,14243,203,312,281,0
195,437,3970,132173,3114,14533,266,407,414,0
195.5,490,3823,139659,3298,15296,173,382,447,69
196,517,3753,130259,3057,14819,221,399,538,0
196.5,463,3678,131456,3296,13850,247,339,379,0
197,488,3900,139715,3053,14592,164,347,200,0
197.5,508,3935,139067,3176,13853,215,369,274,0
198,464,3303,131389,2766,13671,284,362,178,0
198.5,406,3690,126346,2905,16506,319,395,274,15
199,530,3961,136372,3110,16712,214,362,447,0
199.5,590,4121,139477,3341,14353,240,391,385,19
200,442,3557,136544,3410,14119,180,388,251,0
200.5,507,3866,135939,3311,14266,253,412,402,22
201,461,3845,132573,2923,15047,289,367,340,14
201.5,364,3597,130863,3016,14290,316,342,393,45
202,424,3704,139883,3067,14356,201,387,464,12
202.5,540,4172,145120,3166,15357,251,379,501,0
203,449,3360,131890,3166,14774,226,379,324,25
203.5,479,3495,127051,2727,14670,262,364,268,22
204,496,4004,145619,3025,15969,278,394,629,0
204.5,497,4396,153661,3122,16452,232,351,475,7
205,455,4165,146682,3094,15603,310,345,263,0
205.5,471,3924,138026,2954,16021,292,390,347,0
206,366,3309,127462,3536,15020,284,415,525,47
206.5,355,3348,129691,3197,15828,216,330,130,45
207,461,4035,138471,3108,16339,259,343,355,22
207.5,426,3619,141298,2964,15299,294,338,370,0
208,448,3693,139107,3350,14412,324,394,408,0
208.5,315,3173,125940,3273,14861,213,316,435,70
209,343,3111,118885,2683,15385,221,359,382,38
209.5,350,3610,127722,3020,17464,270,406,285,0
210,370,3412,130272,3032,16552,353,332,306,23
210.5,519,3390,136612,2963,15109,267,390,265,0
211,451,3281,129285,2769,14327,288,424,288,23
211.5,398,2911,118785,2847,13703,370,419,417,0
212,427,3281,125698,2668,15454,319,466,353,0
212.5,321,2999,119521,2530,14131,192,377,230,8
213,364,2994,114259,2464,15000,210,391,513,0
213.5,306,2864,103697,2527,14159,239,361,299,0
214,444,2999,121398,2585,14092,268,408,432,0
214.5,494,3519,144022,2838,14951,325,393,437,0
215,461,3769,147963,3033,15434,179,409,279,0
215.5,533,3935,143458,2919,15514,192,418,494,27
216,424,3349,130650,2835,15424,204,370,257,0
216.5,523,3690,139498,2982,15078,155,396,244,7
217,463,3455,134439,2853,15456,245,384,389,15
217.5,418,3782,145465,3226,16305,221,363,259,0
218,499,3865,150564,3104,18715,181,370,395,0
218.5,494,3828,147283,3379,17719,271,366,362,8
219,403,3551,145733,3439,16541,359,445,383,11
219.5,309,3400,125544,2739,15452,219,352,420,26
220,370,3747,138423,3077,17258,302,399,278,5
220.5,433,4239,154662,3373,17492,308,395,219,18
221,397,3780,140318,3297,15651,329,412,246,24
221.5,403,3836,143184,3088,15740,259,326,476,35
222,419,3658,146247,3206,15621,244,405,564,0
222.5,391,3846,143372,3072,16457,147,375,357,0
223,391,3786,142828,3163,15596,257,329,333,0
223.5,472,4012,153257,3344,15518,315,433,193,0
224,403,3535,140671,3344,15326,282,331,236,0
224.5,363,3566,139606,3375,15178,314,364,485,0
225,430,3839,149755,3138,15811,282,340,323,0
225.5,411,3438,146439,3206,15211,258,337,386,0
226,461,3613,143289,3474,15609,330,337,401,0
226.5,423,3403,138650,3425,14866,276,376,410,0
227,452,3809,145140,3192,16001,334,402,304,24
227.5,458,3856,156325,2898,16072,303,365,143,33
228,463,3593,145371,2806,15882,341,407,266,0
228.5,436,3748,145083,3057,15686,339,383,629,0
229,490,3659,141127,3160,16363,264,372,233,8
229.5,424,3538,135779,3007,15505,296,433,519,0
230,417,2969,118894,2780,15860,196,340,344,0
230.5,312,2943,114905,2671,15542,368,397,403,69
231,360,3199,129170,2731,15200,248,343,559,41
231.5,522,3340,139209,3085,17459,269,413,439,15
232,463,4021,144973,3279,18497,300,349,439,51
232.5,430,3565,133072,2946,15652,185,359,446,0
233,374,3370,127874,2835,15612,321,401,487,0
233.5,431,3533,138905,2992,16092,425,399,326,23
234,440,3669,141905,2964,16422,195,369,338,49
234.5,429,3731,137482,3235,16018,283,354,614,10
235,464,3664,137251,3268,15604,312,299,320,0
235.5,430,3503,126788,3217,15963,255,318,424,5
236,358,3301,121842,2853,16643,318,404,340,0
236.5,361,3069,123845,2782,16795,331,380,343,22
237,337,3309,121589,2831,16600,265,325,407,0
237.5,381,3225,118645,2953,16101,312,355,318,60
238,428,3253,125630,2918,17230,169,425,420,0
238.5,383,3047,124143,2619,16074,290,396,290,0
239,461,3066,125809,2766,16917,300,377,451,8
239.5,457,3449,133117,2944,18556,311,406,324,43
240,378,3716,128332,3049,17449,172,371,296,0
240.5,465,3986,127568,3060,16826,264,364,238,37
241,442,3712,133627,3063,18435,395,415,434,19
241.5,458,3443,133807,3216,17951,303,355,316,0
242,458,3507,134246,3051,18012,326,406,388,13
242.5,493,3558,126920,3114,18186,362,409,330,28
243,332,3290,122877,2870,19199,239,384,282,0
243.5,412,3154,122103,3166,18878,248,407,302,0
244,459,3138,122772,2977,18384,308,353,388,0
244.5,570,3543,128260,2874,16849,235,376,381,90
245,466,3348,127075,2792,17081,311,369,512,0
245.5,394,3218,117741,2809,16721,286,362,255,51
246,320,2703,104018,2428,17366,257,356,322,0
246.5,312,2842,109724,2874,17122,200,441,355,43
247,404,3175,114478,2535,17924,331,327,613,39
247.5,371,3359,117375,2971,18489,316,375,89,86
248,408,3397,123903,2879,19247,294,413,238,0
248.5,428,3256,121993,3079,20924,312,401,356,0
249,478,3325,136660,3067,20431,281,412,496,49
249.5,423,3604,136268,2816,20853,327,410,495,0
250,373,3527,126884,2835,21925,345,395,398,78
250.5,363,3227,121698,2901,20364,251,343,467,69
251,323,2997,114879,2672,20632,386,381,430,13
251.5,374,3419,123395,2925,21317,417,320,291,0
252,386,3407,124339,2990,20378,352,400,334,12
252.5,364,3165,124105,2817,18884,306,419,354,50
253,422,3373,124066,4464,19536,353,409,579,62
253.5,375,3528,129709,3704,18853,234,363,410,46
254,331,3248,118015,2841,19287,318,406,163,61
254.5,393,3185,110309,2657,18164,272,335,287,94
255,357,2962,115262,2512,18607,228,325,405,74
255.5,331,3254,119845,2709,17736,292,373,523,0
256,336,2918,104883,2485,19241,353,293,406,67
256.5,374,3055,109722,2369,18717,268,316,295,0
257,331,2935,105950,2394,19234,353,365,517,0
257.5,350,3356,117580,3059,18404,239,334,144,0
258,313,2840,114320,2738,17245,263,409,337,0
258.5,277,2677,106400,2321,17849,274,430,515,14
259,321,2715,104984,2375,18774,278,391,233,47
259.5,331,2735,109175,2563,19482,414,361,249,0
260,312,3289,122866,2817,20707,212,400,438,0
260.5,409,3640,135278,2896,22139,304,385,412,103
261,373,3517,156979,3561,24142,410,357,528,47
261.5,460,4029,154534,3388,23727,364,396,243,18
262,345,4060,138880,3478,23301,337,323,254,7
262.5,382,4140,139561,4395,24012,397,336,378,27
263,315,3754,130045,3330,23391,257,357,368,31
263.5,326,3465,134363,3146,22632,259,409,332,0
264,348,3866,146788,2960,22370,280,333,261,0
264.5,371,4266,152564,3263,23333,329,318,505,113
265,387,4396,147082,3437,22553,246,382,530,31
265.5,405,4060,154319,3057,22702,329,283,366,53
266,369,4209,152777,3148,24119,306,353,446,40
266.5,359,4110,146787,3335,22713,278,326,372,6
267,410,4075,150816,3385,22878,352,340,366,42
267.5,360,4152,146264,3621,22745,352,407,354,8
268,346,4290,146312,3353,22850,377,338,448,52
268.5,408,3829,146853,3115,23587,286,402,464,99
269,362,4001,145609,3227,22462,274,458,602,5
269.5,367,4202,151930,3626,22073,409,313,257,0
270,374,4185,149092,3520,22578,310,404,516,50
270.5,379,4082,153541,3407,22895,383,387,448,62
271,448,4160,152418,3334,22107,273,373,568,65
271.5,358,4173,146318,3508,22785,374,363,345,76
272,357,4039,147560,3733,22625,265,356,571,7
272.5,439,3839,140475,3716,22012,299,368,641,23
273,400,4093,142981,3494,21976,296,309,402,28
273.5,376,3755,149517,3042,20394,359,330,494,0
274,470,3951,160036,3279,22207,228,348,307,48
